Benchmark,Args,Min,Max,Mean,Stdev,Min (+),Max (+),Mean (+),Stdev (+)
des-encrypt,"(16,)",0.003,0.007,0.004,0.001,0.000,0.000,0.000,0.000
des-encrypt,"(4096,)",0.227,0.231,0.228,0.001,0.000,0.000,0.000,0.000
des-decrypt,"(16,)",0.003,0.006,0.004,0.001,0.000,0.000,0.000,0.000
des-decrypt,"(4096,)",0.227,0.233,0.228,0.002,0.000,0.000,0.000,0.000
desl-encrypt,"(16,)",0.003,0.005,0.003,0.001,0.000,0.000,0.000,0.000
desl-encrypt,"(4096,)",0.231,0.239,0.234,0.002,0.000,0.000,0.000,0.000
desl-decrypt,"(16,)",0.003,0.004,0.004,0.000,0.000,0.000,0.000,0.000
desl-decrypt,"(4096,)",0.231,0.234,0.233,0.001,0.000,0.000,0.000,0.000
desx-encrypt,"(16,)",0.003,0.006,0.004,0.001,0.000,0.000,0.000,0.000
desx-encrypt,"(4096,)",0.225,0.231,0.227,0.002,0.000,0.000,0.000,0.000
desx-decrypt,"(16,)",0.003,0.007,0.004,0.001,0.000,0.000,0.000,0.000
desx-decrypt,"(4096,)",0.227,0.240,0.230,0.004,0.000,0.000,0.000,0.000
desxl-encrypt,"(16,)",0.003,0.005,0.004,0.001,0.000,0.000,0.000,0.000
desxl-encrypt,"(4096,)",0.230,0.233,0.231,0.001,0.000,0.000,0.000,0.000
desxl-decrypt,"(16,)",0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000
desxl-decrypt,"(4096,)",0.224,0.231,0.228,0.003,0.000,0.000,0.000,0.000
sdes-encrypt,"(16,)",0.003,0.005,0.003,0.000,0.000,0.000,0.000,0.000
sdes-encrypt,"(4096,)",0.221,0.224,0.222,0.001,0.000,0.000,0.000,0.000
sdes-decrypt,"(16,)",0.003,0.003,0.003,0.000,0.000,0.000,0.000,0.000
sdes-decrypt,"(4096,)",0.214,0.216,0.215,0.001,0.000,0.000,0.000,0.000
tdes-encrypt,"(16,)",0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000
tdes-encrypt,"(4096,)",0.246,0.257,0.248,0.003,0.000,0.000,0.000,0.000
tdes-decrypt,"(16,)",0.003,0.004,0.003,0.000,0.000,0.000,0.000,0.000
tdes-decrypt,"(4096,)",0.239,0.245,0.240,0.002,0.000,0.000,0.000,0.000
pydes-encrypt,"(16,)",0.189,0.198,0.190,0.003,0.000,0.000,0.000,0.000
pydes-encrypt,"(4096,)",46.625,46.752,46.647,0.040,0.000,0.000,0.000,0.000
pydes-decrypt,"(16,)",0.188,0.189,0.188,0.000,0.000,0.000,0.000,0.000
pydes-decrypt,"(4096,)",46.622,47.480,46.721,0.268,0.000,0.000,0.000,0.000
pytdes-encrypt,"(16,)",0.188,0.189,0.189,0.000,0.000,0.000,0.000,0.000
pytdes-encrypt,"(4096,)",46.622,46.629,46.625,0.003,0.000,0.000,0.000,0.000
pytdes-decrypt,"(16,)",0.188,0.189,0.188,0.000,0.000,0.000,0.000,0.000
pytdes-decrypt,"(4096,)",46.623,46.835,46.648,0.066,0.000,0.000,0.000,0.000
