Benchmark,Args,Min,Max,Mean,Min (+),Max (+),Mean (+)
des-encrypt,"(4096,)",0.136,0.139,0.138,0.000,0.000,0.000
des-decrypt,"(4096,)",0.137,0.140,0.138,0.000,0.000,0.000
desl-encrypt,"(4096,)",0.134,0.141,0.137,0.000,0.000,0.000
desl-decrypt,"(4096,)",0.138,0.139,0.138,0.000,0.000,0.000
desx-encrypt,"(4096,)",0.130,0.142,0.136,0.000,0.000,0.000
desx-decrypt,"(4096,)",0.128,0.130,0.129,0.000,0.000,0.000
desxl-encrypt,"(4096,)",0.125,0.128,0.127,0.000,0.000,0.000
desxl-decrypt,"(4096,)",0.130,0.130,0.130,0.000,0.000,0.000
tdes-encrypt,"(4096,)",0.171,0.173,0.172,0.000,0.000,0.000
tdes-decrypt,"(4096,)",0.168,0.168,0.168,0.000,0.000,0.000
pydes-encrypt,"(4096,)",23.310,23.338,23.324,0.000,0.000,0.000
pydes-decrypt,"(4096,)",23.295,23.298,23.297,0.000,0.000,0.000
pytdes-encrypt,"(4096,)",23.282,23.295,23.289,0.000,0.000,0.000
pytdes-decrypt,"(4096,)",23.284,23.296,23.290,0.000,0.000,0.000
